,Sentence,Score
in bris?,8.016032064128256e-05,8.016032064128256e-05
**** these xams!!,8.016032064128256e-05,8.016032064128256e-05
haahaaa.!,8.016032064128256e-05,8.016032064128256e-05
http://bit.ly/6hesz,8.016032064128256e-05,8.016032064128256e-05
http://is.gd/wyab,8.016032064128256e-05,8.016032064128256e-05
dahh-,8.016032064128256e-05,8.016032064128256e-05
http://www.the-impossible-project.com/ _,8.016032064128256e-05,8.016032064128256e-05
nigeria,8.016032064128256e-05,8.016032064128256e-05
muhahahaaaa!,8.016032064128256e-05,8.016032064128256e-05
http://plurk.com/p/svdpu,8.016032064128256e-05,8.016032064128256e-05
fuckingtastic! ),8.016032064128256e-05,8.016032064128256e-05
ug.,8.016032064128256e-05,8.016032064128256e-05
allright!,8.016032064128256e-05,8.016032064128256e-05
imy,8.016032064128256e-05,8.016032064128256e-05
briliant!,8.016032064128256e-05,8.016032064128256e-05
blagh.,8.016032064128256e-05,8.016032064128256e-05
uuuggghh!!!,8.016032064128256e-05,8.016032064128256e-05
_and_jay,8.016032064128256e-05,8.016032064128256e-05
eeehhh.,8.016032064128256e-05,8.016032064128256e-05
_warwounds_c,8.016032064128256e-05,8.016032064128256e-05
its 28c in here.,8.016032064128256e-05,8.016032064128256e-05
what about the dilfs?,8.016032064128256e-05,8.016032064128256e-05
br!tt!!!,8.016032064128256e-05,8.016032064128256e-05
yeeeeeeeee.,8.016032064128256e-05,8.016032064128256e-05
what is feminism?,8.016032064128256e-05,8.016032064128256e-05
http://twurl.nl/8q6cjc,8.016032064128256e-05,8.016032064128256e-05
you get the mcskillet?,8.016032064128256e-05,8.016032064128256e-05
ahahahahaha.,8.016032064128256e-05,8.016032064128256e-05
always3,8.016032064128256e-05,8.016032064128256e-05
hello-,8.016032064128256e-05,8.016032064128256e-05
mit_glee,8.016032064128256e-05,8.016032064128256e-05
no outtie for me.,8.016032064128256e-05,8.016032064128256e-05
_the_heck,8.016032064128256e-05,8.016032064128256e-05
how`re you?,8.016032064128256e-05,8.016032064128256e-05
t?i,8.016032064128256e-05,8.016032064128256e-05
-matalatine _,8.016032064128256e-05,8.016032064128256e-05
**** you rhinitis!,8.016032064128256e-05,8.016032064128256e-05
mclife,8.016032064128256e-05,8.016032064128256e-05
in_tx,8.016032064128256e-05,8.016032064128256e-05
cute!!wish,8.016032064128256e-05,8.016032064128256e-05
wow-,8.016032064128256e-05,8.016032064128256e-05
bmac,8.016032064128256e-05,8.016032064128256e-05
gyrl,8.016032064128256e-05,8.016032064128256e-05
starr,8.016032064128256e-05,8.016032064128256e-05
.'back,8.016032064128256e-05,8.016032064128256e-05
i yuhh you!!!,8.016032064128256e-05,8.016032064128256e-05
http://bit.ly/6fgxd,8.016032064128256e-05,8.016032064128256e-05
isabelle here.,8.016032064128256e-05,8.016032064128256e-05
idkkkk.,8.016032064128256e-05,8.016032064128256e-05
an elephant?,8.016032064128256e-05,8.016032064128256e-05
stokoe,8.016032064128256e-05,8.016032064128256e-05
pange???!!!!!,8.016032064128256e-05,8.016032064128256e-05
estep,8.016032064128256e-05,8.016032064128256e-05
http://is.gd/wxmt .,8.016032064128256e-05,8.016032064128256e-05
_785,8.016032064128256e-05,8.016032064128256e-05
eeekkkk!!!,8.016032064128256e-05,8.016032064128256e-05
sandman_ _,8.016032064128256e-05,8.016032064128256e-05
fmfl.,8.016032064128256e-05,8.016032064128256e-05
archie,8.016032064128256e-05,8.016032064128256e-05
lamee.,8.016032064128256e-05,8.016032064128256e-05
_josa,8.016032064128256e-05,8.016032064128256e-05
hooorah!,8.016032064128256e-05,8.016032064128256e-05
ahaa.,8.016032064128256e-05,8.016032064128256e-05
bwahaha!,8.016032064128256e-05,8.016032064128256e-05
http://twitter.com/djc_yana ~,8.016032064128256e-05,8.016032064128256e-05
@ nickchien _,8.016032064128256e-05,8.016032064128256e-05
xoxoxoxoxoxo,8.016032064128256e-05,8.016032064128256e-05
in weho!,8.016032064128256e-05,8.016032064128256e-05
squirrel!,8.016032064128256e-05,8.016032064128256e-05
i have chocolateeee!,8.016032064128256e-05,8.016032064128256e-05
oof.,8.016032064128256e-05,8.016032064128256e-05
@__jasper_hale__,8.016032064128256e-05,8.016032064128256e-05
_cohen,8.016032064128256e-05,8.016032064128256e-05
ahar.,8.016032064128256e-05,8.016032064128256e-05
"did crepe, again!",8.016032064128256e-05,8.016032064128256e-05
and r18??,8.016032064128256e-05,8.016032064128256e-05
with puppet again.,8.016032064128256e-05,8.016032064128256e-05
that was meeeaaannn.,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/4vp3x -,8.016032064128256e-05,8.016032064128256e-05
and i am in here _lavish,8.016032064128256e-05,8.016032064128256e-05
jodie,8.016032064128256e-05,8.016032064128256e-05
just startled me.,8.016032064128256e-05,8.016032064128256e-05
doggone it!,8.016032064128256e-05,8.016032064128256e-05
longman,8.016032064128256e-05,8.016032064128256e-05
http://www.eabeauty.net -,8.016032064128256e-05,8.016032064128256e-05
http://yfrog.com/ehhmyj,8.016032064128256e-05,8.016032064128256e-05
but it has its own advantages too!,8.016032064128256e-05,8.016032064128256e-05
replyy!,8.016032064128256e-05,8.016032064128256e-05
jayr,8.016032064128256e-05,8.016032064128256e-05
are you doing ww?,8.016032064128256e-05,8.016032064128256e-05
_a_michael,8.016032064128256e-05,8.016032064128256e-05
did some more vacuuming.,8.016032064128256e-05,8.016032064128256e-05
nooooooooooooooo!,8.016032064128256e-05,8.016032064128256e-05
<--has,8.016032064128256e-05,8.016032064128256e-05
you should vacuum.,8.016032064128256e-05,8.016032064128256e-05
were you roaming??,8.016032064128256e-05,8.016032064128256e-05
augustine,8.016032064128256e-05,8.016032064128256e-05
diva_dee26,8.016032064128256e-05,8.016032064128256e-05
dev.java.net :,8.016032064128256e-05,8.016032064128256e-05
.remeber,8.016032064128256e-05,8.016032064128256e-05
rigby,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/673vt,8.016032064128256e-05,8.016032064128256e-05
http://blip.fm/~5ygpg,8.016032064128256e-05,8.016032064128256e-05
avea,8.016032064128256e-05,8.016032064128256e-05
no more betting for me!,8.016032064128256e-05,8.016032064128256e-05
goooosh!,8.016032064128256e-05,8.016032064128256e-05
aaaaaaaaaahhhhhhhh!,8.016032064128256e-05,8.016032064128256e-05
3jfg.,8.016032064128256e-05,8.016032064128256e-05
dummyhead.,8.016032064128256e-05,8.016032064128256e-05
] #mikeywayday?,8.016032064128256e-05,8.016032064128256e-05
www.dujourmag.com/subscribe,8.016032064128256e-05,8.016032064128256e-05
no problemo!!!,8.016032064128256e-05,8.016032064128256e-05
http://tinyurl.com/c4z6gn,8.016032064128256e-05,8.016032064128256e-05
confuzzzledd,8.016032064128256e-05,8.016032064128256e-05
bexi,8.016032064128256e-05,8.016032064128256e-05
_jane14,8.016032064128256e-05,8.016032064128256e-05
dreamer,8.016032064128256e-05,8.016032064128256e-05
migawd.,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/665a2 _,8.016032064128256e-05,8.016032064128256e-05
brianna,8.016032064128256e-05,8.016032064128256e-05
yummm-,8.016032064128256e-05,8.016032064128256e-05
- we are rockstars.,8.016032064128256e-05,8.016032064128256e-05
_03,8.016032064128256e-05,8.016032064128256e-05
ï¿½12.99 for ?,8.016032064128256e-05,8.016032064128256e-05
he is greattttt!,8.016032064128256e-05,8.016032064128256e-05
k4ge,8.016032064128256e-05,8.016032064128256e-05
pdgg!,8.016032064128256e-05,8.016032064128256e-05
twitwoo!,8.016032064128256e-05,8.016032064128256e-05
@_handz_,8.016032064128256e-05,8.016032064128256e-05
http://fotolog.com/sokristen,8.016032064128256e-05,8.016032064128256e-05
nofair!,8.016032064128256e-05,8.016032064128256e-05
iwish,8.016032064128256e-05,8.016032064128256e-05
what do you do in akl and for whom?,8.016032064128256e-05,8.016032064128256e-05
what a burden.,8.016032064128256e-05,8.016032064128256e-05
hihihi.,8.016032064128256e-05,8.016032064128256e-05
homeee!,8.016032064128256e-05,8.016032064128256e-05
http://yfrog.com/0zywwj,8.016032064128256e-05,8.016032064128256e-05
0robertpatt why do they do that?!,8.016032064128256e-05,8.016032064128256e-05
omgg,8.016032064128256e-05,8.016032064128256e-05
~k~ _,8.016032064128256e-05,8.016032064128256e-05
the goonies.,8.016032064128256e-05,8.016032064128256e-05
omgggg!!,8.016032064128256e-05,8.016032064128256e-05
yuuup.,8.016032064128256e-05,8.016032064128256e-05
http://plurk.com/p/wyqow _,8.016032064128256e-05,8.016032064128256e-05
my **** itch.,8.016032064128256e-05,8.016032064128256e-05
thatsï¿½mee!!,8.016032064128256e-05,8.016032064128256e-05
whaaaaaat?,8.016032064128256e-05,8.016032064128256e-05
kap,8.016032064128256e-05,8.016032064128256e-05
waah.,8.016032064128256e-05,8.016032064128256e-05
phast!,8.016032064128256e-05,8.016032064128256e-05
http://tinyurl.com/ojugsb,8.016032064128256e-05,8.016032064128256e-05
on sportv ?,8.016032064128256e-05,8.016032064128256e-05
aaauuuggghhh!,8.016032064128256e-05,8.016032064128256e-05
ssssssssssmack!!!!,8.016032064128256e-05,8.016032064128256e-05
feast!,8.016032064128256e-05,8.016032064128256e-05
projected.,8.016032064128256e-05,8.016032064128256e-05
be careful!,8.016032064128256e-05,8.016032064128256e-05
baddd.,0.00016032064128256512,0.00016032064128256512
the beatles?,0.00016032064128256512,0.00016032064128256512
no crochet?,0.00016032064128256512,0.00016032064128256512
brooke http://twitpic.com/66q88 -,0.00016032064128256512,0.00016032064128256512
okayyy.,0.00016032064128256512,0.00016032064128256512
but i get my paycheck!,0.00016032064128256512,0.00016032064128256512
yummm ?????,0.00016032064128256512,0.00016032064128256512
trivia?,0.00016032064128256512,0.00016032064128256512
<----,0.00016032064128256512,0.00016032064128256512
yippeee!,0.00016032064128256512,0.00016032064128256512
_98,0.00016032064128256512,0.00016032064128256512
eye`s twitching.,0.00016032064128256512,0.00016032064128256512
sleeeep.,0.00016032064128256512,0.00016032064128256512
_cullen26,0.00016032064128256512,0.00016032064128256512
:'> the fame !,0.00016032064128256512,0.00016032064128256512
and foxy.,0.00016032064128256512,0.00016032064128256512
watson,0.00016032064128256512,0.00016032064128256512
ick.,0.00016032064128256512,0.00016032064128256512
ps-,0.00016032064128256512,0.00016032064128256512
seriousslyyy this is a tragidy !,0.00016032064128256512,0.00016032064128256512
gimme some !,0.00016032064128256512,0.00016032064128256512
grrrrrrr .,0.00016032064128256512,0.00016032064128256512
macrina bakery.,0.00016032064128256512,0.00016032064128256512
kudos!,0.00016032064128256512,0.00016032064128256512
ooooo!,0.00016032064128256512,0.00016032064128256512
my wand?,0.00016032064128256512,0.00016032064128256512
loveeeee her,0.00016032064128256512,0.00016032064128256512
sleepytime _hypnotic,0.00016032064128256512,0.00016032064128256512
feening for cigs.,0.00016032064128256512,0.00016032064128256512
dem,0.00016032064128256512,0.00016032064128256512
you on hols?,0.00016032064128256512,0.00016032064128256512
i wud do,0.00016032064128256512,0.00016032064128256512
are you wtaching the recruits?,0.00016032064128256512,0.00016032064128256512
"how are you, more importantly?",0.00016032064128256512,0.00016032064128256512
aaaa!,0.00016032064128256512,0.00016032064128256512
another_1,0.00016032064128256512,0.00016032064128256512
@)(1+-`$#!,0.00016032064128256512,0.00016032064128256512
omj!,0.00016032064128256512,0.00016032064128256512
**** hii!!,0.00016032064128256512,0.00016032064128256512
_crazyangel,0.00016032064128256512,0.00016032064128256512
what ru doing?,0.00016032064128256512,0.00016032064128256512
we just missd each otha again!,0.00016032064128256512,0.00016032064128256512
i has an sadifying in my heartparts.,0.00016032064128256512,0.00016032064128256512
_wockeez,0.00016032064128256512,0.00016032064128256512
but then i blink,0.00016032064128256512,0.00016032064128256512
exhausting!,0.00016032064128256512,0.00016032064128256512
resistance was futile!,0.00016032064128256512,0.00016032064128256512
ahah.,0.00016032064128256512,0.00016032064128256512
it creeped me out.,0.00016032064128256512,0.00016032064128256512
but i did some rs yesterdayy!.,0.00016032064128256512,0.00016032064128256512
mamma,0.00016032064128256512,0.00016032064128256512
what is it with chocolates?,0.00016032064128256512,0.00016032064128256512
roulette,0.00016032064128256512,0.00016032064128256512
http://twitpic.com/4wf30 - eeeeeeeeeee!!!!!,0.00016032064128256512,0.00016032064128256512
"kev, **** off!",0.00016032064128256512,0.00016032064128256512
*dances it out* @_writersblock_,0.00016032064128256512,0.00016032064128256512
uncool.,0.00016032064128256512,0.00016032064128256512
-now,0.00016032064128256512,0.00016032064128256512
this is frustrating!!!,0.00016032064128256512,0.00016032064128256512
yessss!!!,0.00016032064128256512,0.00016032064128256512
boooooo.,0.00016032064128256512,0.00016032064128256512
ch?c ch? ??,0.00016032064128256512,0.00016032064128256512
fmlllll prom`s over.,0.00016032064128256512,0.00016032064128256512
_78,0.00016032064128256512,0.00016032064128256512
_78,0.00016032064128256512,0.00016032064128256512
http://plurk.com/p/x2bp2 _beckwith,0.00016032064128256512,0.00016032064128256512
@ the drs.,0.00016032064128256512,0.00016032064128256512
watkins,0.00016032064128256512,0.00016032064128256512
addict,0.00016032064128256512,0.00016032064128256512
what century are you in?,0.00016032064128256512,0.00016032064128256512
yummm.,0.00016032064128256512,0.00016032064128256512
suh-weet!,0.00016032064128256512,0.00016032064128256512
yippee!,0.00016032064128256512,0.00016032064128256512
i am greedy.,0.00016032064128256512,0.00016032064128256512
wooow!!,0.00016032064128256512,0.00016032064128256512
hbu?,0.00016032064128256512,0.00016032064128256512
i just have yoghurt and some carrots.,0.00016032064128256512,0.00016032064128256512
serio barroca??,0.00016032064128256512,0.00016032064128256512
wasssup cocoliciousness!!!,0.00024048096192384768,0.00024048096192384768
wfd: lasagna.,0.00024048096192384768,0.00024048096192384768
reyt fancies a valentinos.,0.00024048096192384768,0.00024048096192384768
hallooo bayern!hallooo stau!,0.00024048096192384768,0.00024048096192384768
oll just like zack again then.,0.00024048096192384768,0.00024048096192384768
whyyyy hellloooo!,0.00024048096192384768,0.00024048096192384768
goodbyeeee arizona.,0.00024048096192384768,0.00024048096192384768
realising how sheltered my upbringing was.,0.00024048096192384768,0.00024048096192384768
friendship retained!,0.00024048096192384768,0.00024048096192384768
this thing`s a lifesaver:,0.00024048096192384768,0.00024048096192384768
you were in riverside??         ,0.00024048096192384768,0.00024048096192384768
"hamdemic, aporkalypse or parmageddon?",0.00024048096192384768,0.00024048096192384768
that and being so careless with her vocals.,0.00024048096192384768,0.00024048096192384768
you are an absolute legend!,0.00024048096192384768,0.00024048096192384768
guten morgen!,0.00024048096192384768,0.00024048096192384768
_khc wooow.,0.00024048096192384768,0.00024048096192384768
props to me!,0.0002404809619238477,0.0002404809619238477
_dee,0.0002404809619238477,0.0002404809619238477
_y_tony,0.0002404809619238477,0.0002404809619238477
nm.,0.0002404809619238477,0.0002404809619238477
satisfied.,0.0002404809619238477,0.0002404809619238477
dragon!,0.0002404809619238477,0.0002404809619238477
teehee,0.0002404809619238477,0.0002404809619238477
on my todd!,0.0002404809619238477,0.0002404809619238477
ye,0.0002404809619238477,0.0002404809619238477
hawaii!!,0.0002404809619238477,0.0002404809619238477
_sb,0.0002404809619238477,0.0002404809619238477
_anderson,0.0002404809619238477,0.0002404809619238477
tragic.,0.0002404809619238477,0.0002404809619238477
_pax,0.0002404809619238477,0.0002404809619238477
ooops!,0.0002404809619238477,0.0002404809619238477
*thumbs up*,0.0002404809619238477,0.0002404809619238477
hehehehe,0.0002404809619238477,0.0002404809619238477
>.<,0.0002404809619238477,0.0002404809619238477
. wth.,0.0002404809619238477,0.0002404809619238477
dare me?,0.0002404809619238477,0.0002404809619238477
he is no prize.,0.0002404809619238477,0.0002404809619238477
yawn!,0.0002404809619238477,0.0002404809619238477
ermm,0.0002404809619238477,0.0002404809619238477
yaaay!,0.0002404809619238477,0.0002404809619238477
from my relatives.,0.0002404809619238477,0.0002404809619238477
what up mates?!,0.0002404809619238477,0.0002404809619238477
i am thankful!!,0.0002404809619238477,0.0002404809619238477
kittykat,0.0002404809619238477,0.0002404809619238477
izzy!!!,0.0002404809619238477,0.0002404809619238477
linda ~,0.0002404809619238477,0.0002404809619238477
_cullen10,0.0002404809619238477,0.0002404809619238477
gahh!!,0.0002404809619238477,0.0002404809619238477
teehee.,0.0002404809619238477,0.0002404809619238477
entertained.,0.0002404809619238477,0.0002404809619238477
#bash ?? ??????? ????????? ????,0.0002404809619238477,0.0002404809619238477
yaay!,0.0002404809619238477,0.0002404809619238477
agh!,0.0002404809619238477,0.0002404809619238477
oww.,0.0002404809619238477,0.0002404809619238477
ooops!,0.0002404809619238477,0.0002404809619238477
is so hungover.,0.0002404809619238477,0.0002404809619238477
likewise.,0.0002404809619238477,0.0002404809619238477
no. not professional at all.,0.0002404809619238477,0.0002404809619238477
those are my options here.,0.0002404809619238477,0.0002404809619238477
yesss!,0.00032064128256513024,0.00032064128256513024
muah!,0.00032064128256513024,0.00032064128256513024
#sadsville doh!,0.00032064128256513024,0.00032064128256513024
correction: 'facetious' not 'sarcastic.',0.00032064128256513024,0.00032064128256513024
how pathetic.,0.00032064128256513024,0.00032064128256513024
fiddle faddle on my workload!,0.00032064128256513024,0.00032064128256513024
that sorted it.,0.00032064128256513024,0.00032064128256513024
damm it!,0.00032064128256513024,0.00032064128256513024
karma is a **** !,0.00032064128256513024,0.00032064128256513024
wooooo!,0.00032064128256513024,0.00032064128256513024
at the redi med.,0.00032064128256513024,0.00032064128256513024
yahoo!!!,0.00032064128256513024,0.00032064128256513024
rah rah.,0.00032064128256513024,0.00032064128256513024
_hawt,0.00032064128256513024,0.00032064128256513024
#bush #clinton,0.00032064128256513024,0.00032064128256513024
04 would be the chief contributors.,0.00032064128256513024,0.00032064128256513024
fxxxmylife _58,0.00032064128256513024,0.00032064128256513024
hiii,0.00032064128256513024,0.00032064128256513024
insane.,0.00032064128256513024,0.00032064128256513024
nicole,0.00032064128256513024,0.00032064128256513024
._.; thanxxx !,0.00032064128256513024,0.00032064128256513024
mel?,0.00032064128256513024,0.00032064128256513024
bahaha.,0.00032064128256513024,0.00032064128256513024
_crisis deathmatch?,0.00032064128256513024,0.00032064128256513024
cullen_,0.00032064128256513024,0.00032064128256513024
triple 5`s!,0.00032064128256513024,0.00032064128256513024
ahahaha,0.00032064128256513024,0.00032064128256513024
ack.,0.00032064128256513024,0.00032064128256513024
az`s finest vol.,0.00032064128256513024,0.00032064128256513024
families are brokun up by humuns.,0.00032064128256513024,0.00032064128256513024
how are you todayy?!,0.00032064128256513024,0.00032064128256513024
tres chic!,0.00032064128256513024,0.00032064128256513024
bahaha,0.00032064128256513024,0.00032064128256513024
jen!,0.00032064128256513024,0.00032064128256513024
ekin sayang mak!!!,0.00032064128256513024,0.00032064128256513024
unf unf,0.00032064128256513024,0.00032064128256513024
har,0.00032064128256513024,0.00032064128256513024
ughhhh.,0.00032064128256513024,0.00032064128256513024
closeness or distance?,0.00032064128256513024,0.00032064128256513024
90210 lï¿½sst grï¿½ï¿½en.,0.00032064128256513024,0.00032064128256513024
to paul!!!,0.00032064128256513024,0.00032064128256513024
both she and it are crushed!,0.00032064128256513024,0.00032064128256513024
:3,0.00032064128256513024,0.00032064128256513024
wales here i am!,0.00032064128256513024,0.00032064128256513024
emisiune sau ceva?,0.00032064128256513024,0.00032064128256513024
a cuppa.,0.00032064128256513024,0.00032064128256513024
http://blip.fm/~5z193 wooooo!!,0.00040080160320641277,0.00040080160320641277
effing embarrassing!,0.00040080160320641277,0.00040080160320641277
lacey just shutdown the livestream.,0.00040080160320641277,0.00040080160320641277
at twin peaks.,0.00040080160320641277,0.00040080160320641277
sec 108.,0.00040080160320641277,0.00040080160320641277
"more than 40,000 to boot!",0.00040080160320641277,0.00040080160320641277
geography cz,0.00040080160320641277,0.00040080160320641277
chillen at gmas!,0.00040080160320641277,0.00040080160320641277
just shifting locations!,0.00040080160320641277,0.00040080160320641277
i loveeee her.,0.0004008016032064128,0.0004008016032064128
and spain.,0.0004008016032064128,0.0004008016032064128
you level up.,0.0004008016032064128,0.0004008016032064128
lovato,0.0004008016032064128,0.0004008016032064128
meow.,0.0004008016032064128,0.0004008016032064128
do you have a **** addiction???,0.0004008016032064128,0.0004008016032064128
yaaaay!,0.0004008016032064128,0.0004008016032064128
**** is picking up!,0.0004008016032064128,0.0004008016032064128
postponed is not abandoned.,0.0004008016032064128,0.0004008016032064128
_marie,0.0004008016032064128,0.0004008016032064128
gray!,0.0004008016032064128,0.0004008016032064128
meh!,0.0004008016032064128,0.0004008016032064128
just harder on me.,0.0004008016032064128,0.0004008016032064128
duh.,0.0004008016032064128,0.0004008016032064128
you just relaxin?,0.0004008016032064128,0.0004008016032064128
or its screwed.,0.0004008016032064128,0.0004008016032064128
a kidney stone.,0.0004008016032064128,0.0004008016032064128
i have all the seasons.,0.0004008016032064128,0.0004008016032064128
i only do computers.,0.0004008016032064128,0.0004008016032064128
pity me!,0.0004008016032064128,0.0004008016032064128
its #starwarsday!!!!,0.0004008016032064128,0.0004008016032064128
jamie,0.0004008016032064128,0.0004008016032064128
_meow,0.0004008016032064128,0.0004008016032064128
the stars are out.,0.0004008016032064128,0.0004008016032064128
"bara, ****, closets, adventure.",0.0004008016032064128,0.0004008016032064128
grrrr!,0.0004008016032064128,0.0004008016032064128
and its only noon.,0.0004008016032064128,0.0004008016032064128
_pe awesomeness!,0.0004008016032064128,0.0004008016032064128
at envy!,0.0004008016032064128,0.0004008016032064128
would you like some hay?,0.0004008016032064128,0.0004008016032064128
i hated that!,0.0004008016032064128,0.0004008016032064128
so were the bands before her,0.0004008016032064128,0.0004008016032064128
but with who? hmmmm.,0.0004008016032064128,0.0004008016032064128
"thankfully, no pigs/swines!",0.0004809619238476953,0.0004809619238476953
nooooooooo have @ irma vep rehearsals.,0.0004809619238476953,0.0004809619238476953
is cursing ab`s wardrobe handles.,0.00048096192384769536,0.00048096192384769536
jackson`s chillen.,0.00048096192384769536,0.00048096192384769536
my palms are itchy.,0.00048096192384769536,0.00048096192384769536
i created a monster!,0.00048096192384769536,0.00048096192384769536
i just texted you,0.0004809619238476954,0.0004809619238476954
just kidding.,0.0004809619238476954,0.0004809619238476954
tut tut.,0.0004809619238476954,0.0004809619238476954
nooooo!,0.0004809619238476954,0.0004809619238476954
mexico,0.0004809619238476954,0.0004809619238476954
nooooo.,0.0004809619238476954,0.0004809619238476954
mexican!,0.0004809619238476954,0.0004809619238476954
//,0.0004809619238476954,0.0004809619238476954
yey!,0.0004809619238476954,0.0004809619238476954
nj,0.0004809619238476954,0.0004809619238476954
henrie,0.0004809619238476954,0.0004809619238476954
bio,0.0004809619238476954,0.0004809619238476954
omfg.,0.0004809619238476954,0.0004809619238476954
the 6th.,0.0004809619238476954,0.0004809619238476954
*tears* __,0.0004809619238476954,0.0004809619238476954
whoop!!!,0.0004809619238476954,0.0004809619238476954
yey!,0.0004809619238476954,0.0004809619238476954
bleh!!!,0.0004809619238476954,0.0004809619238476954
ahaha,0.0004809619238476954,0.0004809619238476954
