text,score
"has about 10 hours work to do, on a sunday. boo. i will find time for a two hour lunchbreak though. yeah",0.296
bugger. forgot i still have washing in my machine,0.0
"_laurie sending love, blessings & healing thoughts to you & family  peace",0.9042
my back hurts...really bad,-0.5423
" ah yes, i know that feeling",0.4939
night of the cookers with my dad,0.0
my modem has been offline for a week now... god bless the 3g network. tim just left... again!! may schedule has been brutal,-0.3147
 nope i am in coquitlam,0.0
 had parent teacher thing yesterday!! so boring going to skl on saturday!!  lol,-0.3312
  #lichfield #tweetup sounds like fun  hope to see you and everyone else there!,0.8398
big booming thunder storm almost here.  maybe we can all go home early???  ah... probably not.,0.0
few bevvies 2day in twn..great on a day off!!,0.0
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,0.5696
 good morning,0.4404
 its the best show ever!,0.6696
url in previous post (to timer job) should be http://bit.ly/a4fdb. i`d removed space which messed up url.  ^es,-0.34
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :l .,-0.4767
 i want to know when the auditions are mander! text or...reply please!,0.4912
or even nooooo not the secret namerebecca please,0.3182
 i miss my neice  can`t wait to see her bad n grown ****! lol,-0.3802
i need to get my computer fixed,0.0
really hopes her car`s illness is not terminal...,0.101
"all the cool people i want to find for following today are #english, and i guess the english don`t tweet.",0.3818
 no sir...i woulda put honey...but i don`t have any,-0.296
who watched x-men origins: wolverine? i totally loved it! haha,0.8293
 i voted!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,0.6671
 i`m sad that i missed you guys last night!,-0.68
finally got a call for marriage counseling 3 days late....,0.0
 ok then,0.296
_420 why baby?,0.0
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,-0.906
we`re having an impromptu pool party... except i don`t know how to swim so i can`t get in,0.0
lost my tooth 2day whilst i was eating gum...oww,-0.3182
happy 1 year! <3,0.784
"oh, i hella forgot to say my official good morning  like to hear it? here it go! goooooooooooood morrrrrrrrning twitterville! lol",0.8309
 *phew*  will make a note in case anyone else runs into the same issueï¿½,0.0
  what about me ??  i vote every day for you !!!!!,0.0
i`m starving!! this diet is killing me but i can`t eat after 8pm,-0.6351
 i talk to you,0.0
im soo bored...im deffo missing my music channels,-0.296
 nite nite bday girl  have fun at concert,0.5106
"had nicotine replacement patch on for 4 hours. so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now",0.3685
_sanderson what`s with twatter lately?  either i can`t get on or the replies don`t turn up!,0.0
should be sleeping.  lost my voice a couple day ago.,-0.3182
http://twitpic.com/66xlm -  hate when my parked car gets hit,-0.5719
 i`ve heard this fall. i`m waiting too!,0.0
 more nightmares?  *huggles*,0.0
i am such a creeper  i feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,-0.6486
going to bed its late and i have headache,0.0
happy mother`s day to all moms out there...,0.5719
grabbing coffee from  then making mom breakfast,0.0
im thinking that im going to have fun tonight....and maybe some changes are coming,0.5106
 thanks. before the major chop.,0.4404
" haha i know, i cant handle the fame!  and thank you!",0.5687
just got up and updated my ipod,0.0
 yes! sober hahaha tanghaling tapat dude! haha wild. i don`t knowwww  plan plan  before you go to us!,0.88
 we never miss icarly - my son has a huge crush on miranda,0.2833
saw james carville in the store today. his head is really that bald,0.0
yellow for   ? http://blip.fm/~5z05g,0.0
 which means you`re just going to have to come back to vancouver and have it our way! hahah,0.0
feeling smooth like chrome,0.4588
ew traffic,0.0
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",-0.3252
@_ra_ra_ your not alone...i need coffee too.,0.0
 sounds like me,0.3612
bad day  the day you realize what mess you`ve put me through will be one of the happiest days of my life...,-0.2023
walking to class. i hate not having a bike....especially mine.,-0.5719
_nesmith,0.0
"failed inspection. did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? this is worse than taxes.",-0.743
"jonas brothers - live to party.                it`s rocking so hard     i love the song,",0.744
happy mother`s day to all the mothers in the world.,0.5719
"35mins through the 1hr 20mins google wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/wnmsc",0.8176
sleepy tabz is heading to bed.  fun night! listened through the next episode of joss`d!,0.5972
the exception for a short dude: larenz fineass tate yum,0.0
"screw the reviews, i thought wolverine was awesome. but not enough dominic monaghan for my liking.",0.7096
"if you followed us recently, please dont be offended that we haven`t followed back. we hit our limit.   hopefully we will be free soon.",0.8418
 yes i work 6 to 3...,0.4019
" hmmm, maybe that`s what they meant. they eluded to something brand new but you know how the media is",0.0
done at the spa   now meeting vic for some late lunch!,0.0
happy monday  up and about going to tavares today. hope everyone has a blessed day!,0.8955
 always have wanted to go to oz,0.0
 thx,0.3612
 http://twitpic.com/4jaz5 - cool... luv it,0.0
  that`s why i need to be there...to represent the blackberries,0.0
okay so i`m dedicating my 300th tweet to the fact that i`m going to the apple store because there is a huge crack on the glass screen!,0.5411
 if only we could ever actually be allowed to stay here and do that,0.0
 let me know how that turns out!!,0.0
 was that sass i detect?  as long as it isn`t back sass! haha,0.5093
" yeah i was thinking about that ,ahaha",0.296
 sports bar shatranjanpoli rest ph 26498457 all sports bar andheri w 26733333 dont know whether that helps. google ki jai ho,0.3818
i`m not sleeping at all until  accepts my appology,0.3182
"wolverine was boss! seriously, and will.i.am was in it, what the **** ??",-0.3296
" i live for pain, bring it on",-0.5106
"okay, i`m out for a while  back later!",0.2942
  #powerblog what is this powerblog challenge you keep talking about?  i`m a newbie follower,0.0772
almost died. laptop screen was set to 100% brightness after i reinstalled windows vista. got a headache now  #insanedefaults,-0.1796
waiting for tish to get off. got to drive my moms crv to pick her up all my myself and duckie. first time,0.0
"trying to decide on a movie with the friends.. not going to well! lol :p  no bible study 2nite, which means ****-day cake  buy my own??",0.4287
going to shower because i don`t want to smell at school tomorrow,0.0772
 sigh... you know i am...,0.0
"discovered cause of a bug in the new #netplayer 4 build. publishing bug fix now, hopefully new beta by tomorrow",0.4019
here are 4 free twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xpg0/,0.5106
just got home from work.... and is chugging down a big bottle of apple juice.,0.0
 yes it does. please dont` go. if you die i will cry.. which normally leads to small animals getting harmed,-0.4588
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,0.6749
 it was only once for my big brother...and i`m done now,0.0
good news: finally finished my #easactive workout that has been paused for 6 hours. bad news: my resistance band is torn,-0.3818
"well good morning all, what a wonderful day in the neighborhood  thanks for all those that are now following another 60 this morning",0.891
ftsk and mercy mercedes were amazing tonight.. as always,0.743
  hope he is ok!,0.6588
can`t school just be done already? it hurts too much... seeing him every day,-0.4767
"i waited, listening to wind blowing through the tumbleweed? are none of you old enough to know what to do when someone says 'crackerack'?",0.0
 hell yeah!,-0.5707
 him shirt at dinner? do you need to ask??  does it actually have ville on it?,0.0
 i know!!,0.0
 huh what the ****? smelly? noooo. i love alex vixon,0.6767
"went to a party last night. dindin and i showed up in matching outfits ) great minds think alike ) anyway, happy birthday, ate lara",0.8885
" happy b-day! just woke up on this side of earth, so wishes are bit late",0.7276
"thank you for teaching me values and to be a better person each day  i love so much, you`re the best mum in the world",0.9477
happy mothers day.!,0.6114
" *laughs* i`m glad that you have self confidence - it`s a wonderful trait to have  i`ll applaud extra loud for it, okay?",0.9313
  thanks,0.4404
twittering after 2 days!,0.0
getting ready for week  its too nice today to be stuck inside working!,0.5562
i am tres depressed,-0.5106
"felt like ****, behaved like my son; ate to compensate. pigged out on home-roasted sugar almonds. painful tum, threw up, still feel sick.",-0.296
happy mothers day people. i love my mom a lot still,0.836
 i`m sorry to hear that.,-0.0772
" that`s awesome dude, yay for surprise celebrities!  i got to meet him a few years ago, he was soooo friendly.",0.92
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",0.6114
is getting the hang of twitter.,0.0
you know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,-0.0258
i want it back now!: http://bit.ly/pp1wz,0.1511
going to miss my roomie ... we will no longer be roomies starting tomorrow,-0.4215
"bathing with two little angels, keyla and janice.",0.0
" yep, finished, chocked full of spelling and grammatical errors, but i`m cleaning it up tomorrow and popping it up  hehe",-0.0258
 hahahha lol true that! i always remember my bd but i can never remember what date or even day it is,0.4753
"family is here,hanging with them",0.0
watching ellen love her!! then doing the dishes  and tanning ...it`s gorgeous out!,0.8772
 what`s goin on hun?  i`m worried about you,-0.296
 im not bannished... but i am at work till 6,0.0
" morning! if i get to see it, i`ll let you know. right now, i`m going to go see wolverine.",0.0
" red top tabloids, build em up, knock em down",0.2023
tonight in party w/ my girls (minus vita),0.4019
  why not now you made me sad i thought you`d be jumping for joy,0.1779
 simple my a#@,0.0
"the pics i just uploaded are the baby pics of my cats. missy is now an adult and a pretty little kitty, but batty is in kitten heaven now",0.7615
" i saw the play of it here, it was amazing",0.7351
 _ i am glad to break my twitter virginity with you two.,0.4588
dinner with the fam... i have missed them,-0.296
"_live that`s what i want. more the better. bound to be a few bad eggs though, but they will soon learn.",-0.0028
hell yeah kellynn got a twitter. finally.,-0.5267
" i know   it was worth a shot, though!",0.2942
"just opened a facebook account, i`m a little confused i don`t really get it. twitter seems much better",0.2247
ship. i`m stuck.,-0.25
dustbin baby on at 11.30 cannot wait  x,0.0
" not going to dwell on it. it happened, it`s passed. just a shame as he was so supportive! such is life!  x",-0.2932
it looks like the office tv does get mlb network... and it looks like mlbn will not be televising the det/bal game today  #wieters,0.6124
home empty handed.  no comics found today.  i shall now indulge in my cupcakes from magnolia bakery.,-0.4588
laying in bed til workkk... oh the life. definitely pinched a nerve.,0.4019
today is a busy day. exhausting!,-0.4199
" i was going to go on sunday, but now i`ve got too much going on that weekend",0.0
 sorry to hear ur flight got cancelled  that blows!!!,-0.4898
ohh my tooth is hurts ohh  im sad it very hurts,-0.8519
"before i get too distracted, i`d like to thank my new followers for taking the trouble to follow me! and to my others: feelin the love",0.6588
 u think u have bills ha!ii just finished paying mine that`s y i`m broke,-0.4753
 not sure it didn`t say it was 2 big. i jst saw the pics of u on ur last bday. you looked so pretty!! i miss you!!,0.5337
sore throat. planning the tet outing to marwell though...good times,-0.3612
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,0.6369
2 days without sleep and now a migraine. i thought life postr01 was meant to be relaxing,0.4939
 there!,0.0
?sucks!?..,0.0
 whens the sway sway winner announced?,0.5859
 k will check it out...,0.0
" doing pretty well, up and wide awake",0.6486
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",0.2561
i miss daddy and mommy,-0.1531
"my dog is officially depressed that my brother`s dogs are gone. he doesn`t want to go outside and when we did, he play half-heartedly.",-0.1531
i just realized that i can`t forward text msgs with my iphone.,0.0
"my frist post... off to find a new car for my parents, exciting!",0.5411
argh noo! missed the killers on wossy!  that sucks! missed out on brandon. total failure! anyone know if it`s repeated? must investigate!,-0.94
seriously bored without anyone to talk to... but not tired enough for sleep,0.298
 i am lost. please help me find a good home.,0.6808
"it`s a peter & gordon morning  -> and i, go to pieces and i wanna hide / go to pieces and i almost die / ever... ? http://blip.fm/~5yk38",-0.6494
ok so i`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,-0.3182
 lmao... smh!  that one threw me off.,-0.3802
 oh nice going!,0.4753
is getting ready for work... working all weekend,0.3612
gonna celebrate mothers day with the family but gonna start the partying tonite,0.6956
 i agree with you!,0.4199
 i only do computers. am hopeless at everything else,-0.4588
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",-0.0772
_2nd aww thanks!,0.4926
 sorry rb is on ps3 for me,-0.0772
i saw amazing heeels. but they were too big,0.34
i just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,-0.25
dang last url went down  ? http://blip.fm/~7aigm,0.0
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",-0.296
 damnit all. that sucks.  you were one of the ones i thought i`d drag back lol,-0.6124
 my boss. she`s moving to nyc,0.0
this is sooo crazy i have fever..,-0.34
is spending her saturday morning taking notes for a research essay because some stupid **** recalled the book i`m using. not fair,-0.6555
i think i need some new friends,0.4767
 looking forward to your gig in ireland!!!  see ya there!,0.0
please review sunehre ad placement  http://tinyurl.com/oow6mk,0.3182
aww  you loooove me,0.0
"is hungry, twitter.  i want food. </3",-0.5719
awesome lucky you,0.7845
" yea, i should know.. but tell me everything!  ps: send me direct messages telling..   haha",0.6476
" haha im jewish, i love that one",0.802
"had a great time out in the beer garden wit the boyos !! i think the sun got to me a bit though, feel a bit ill !!",0.5374
 l`m on 3 days too matt. no fun this weekend.,0.2732
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,0.0
 i feel your pain. mine is the same way,-0.5106
comes home in two days,0.0
 sadly no. it didn`t come with one...,-0.6124
cant wait to see my boy tomorrow,0.0
 ehhh no. just a check up. i have a dentist app next week though. getting my molar pulled/root canal.,-0.296
 aww i miss driving down elmwood,-0.1531
omg wango tango was **** awsome! i love my baby for taking me,0.6696
"version 2 of our live, interactive trans-siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",0.4754
_30439 i really wish i could go!,0.5081
" yeah real hard, but i know you`ll get by with it... smile",0.5647
 i`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,-0.0274
  this has made my night!!  way too funny!!,0.6209
woo cavs.  happy mother`s day!,0.7959
 i make that same face when i get home and your mom is watching soaps.,0.0
i have to go to work now.,0.0
 i can`t believe you went and got boba without me.,0.0
"  and to you too, how are you today?",0.0
 thanks for the warm welcome! we didn`t make plans   because our arrival time was so up in the air.,0.7959
19 days and counting,0.0
 sorry  friends - i`m swamped with deadlines right now and we have family visiting to boot! no charades for me.,0.2244
brainfreeze,0.0
just discovered a shortcoming of gravity. when you use twitpic (integrated) it doesn`t subtract the pic url from the 140 character limit,0.0
"my sunburn is peeling,",0.0
perky purple nail polish isn`t as perky when its chipped,0.0
"http://twitpic.com/4sx96 - before they put a camera in the smokers pit.  i can no longer vandalize that door, without being caught.",-0.296
laying alone!! since mook`s soo comfy in his f`n play pen. i thought it was ill at first now i don`t have no one to cuddle with...,-0.6351
i hate the dentist,-0.5719
" nothing aimed at you, just joining in...sorry",0.0
i`m taking a twitter break. cell is dying,0.0
 qood morninq,0.0
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,0.3182
needs more followers,0.0
i wish i could get my nails done  stupid job,-0.1779
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,0.6124
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,0.0772
 have a good one,0.4404
" yep infact she is popular, miss india 99, talented film actress .... and lot more",0.7717
dosen`t want to go to work tomorrow,0.0772
daniel has won dsds. his voice is great.,0.8316
[-o] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,0.4019
was hoping to go to red lobster this weekend,0.4215
_x_atl u mean jack barakat`s?! wow so have u ever gone to his house? hehe i mean ur ssoo lucky to have the address!,0.8198
i sure do hope it becomes 4:20 this afternoon ...,0.6369
 it means that you are now famous. congrats!,0.5707
my phone passed away yesterday.. he jumped off the table  searching for a new phone...,0.0
"i have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",0.9323
tamlyn wishes she was as cool as my sock draw,0.4404
 so no rice or crusty bread with the chili .... aawww,-0.3597
"  we are of like minds this evening , my dear!",0.6588
come and save me from my packing please?!,0.5411
"yes, i love tea. if that makes me typically english then so be it",0.7845
 a mouth for sure,0.3182
_dec0de i finally just have 1 hour of history... at 3.00 pm! but i went to my highschool at 8.00 am to make some homework with a friend,0.68
 pancakes!! with lemon and sugar thanks!,0.5826
" si, no bueno  i guess i just don`t entertain him :/",-0.3182
i`m so hunrgy right now and these heels kill me i can hardly walk in them,-0.6908
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,-0.5255
" yay, three followers! good to know more than one person in this big wide world likes fishies.",0.8553
'my name is tony!!!!!! ...not hey!!!!' -  poor tony,-0.6449
goodmorning,0.0
took a shift tomorrow.    i don`t really feel like working right now.,0.4173
" i love mine, too . happy motherï¿½s day to your mom , john taylor  . much love to you, too .",0.9201
saw a black snake in the garden.  went back for a picture and it was gone,0.0
http://twitpic.com/4wukt - we bought ludi her own rug. dogs are the best,0.6369
no waterfront anymore   faccia luna and clarendon will have to do,-0.296
loves her mum very much! happy mothers day to all the wonderful mothers out there,0.913
slipped up and caught the flu  feeling like poop!,0.1759
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47days til mcfly, im so excited  (l)",0.8209
ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,-0.7003
discovered  and  are sharing on g reader with me and didn`t even know it. sigh.... i`m such a g reader newb.,0.4215
"is chilled out tonite, so cannot spew venom or write funny. seems like these are the only 2 styles she has",0.6597
" if u do, please pray 4 me.  lord knows i need it.",0.5574
aaaaaw i want to live in the usa,0.0772
morning tweeple,0.0
" hey, i didn`t get any !!!",0.0
 now you only have 2 hours to sleep...  - rest if you need it.,0.0
"  that makes my day so much better, it`s been a rough one. did i mention i love the new photo!",0.8258
i don`t want to sit at home on prom night. someone hang out with me,0.0772
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,0.2263
concert tonight  chackin out and not coming tomorrow!,0.0
 what happened? i thought you were coming back today....,0.0
 lol dammit  well then next time then,0.5994
 lol. just don`t ever forget me,0.2263
 still jealous,-0.4588
http://twitpic.com/67qv3 - me at forever 21  ethan couldn`t be there,0.0
now im sad but im not giving in first..i didnt do nothing!!!!    :**-(,-0.6977
this week of mine was not easy!  but finally it`s over! (:,0.6347
   wow what a beautiful picture... and by the way....i am straight....just wanted to let you know!!!     bella,0.8617
in arch. drawing. checking out mvcc`s cad degree. looks good to me,0.4404
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",0.0
"just about to go home. i`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",0.2244
 but you always have lee. let`s go to paris,0.0
