,text,score,length
4413,roughnight,0.0,10
9293, exactly!!,0.0,10
2929, thank you,0.3612,10
11211, you geek!,-0.2714,10
20769,i`m out...,0.0,10
21242,_ward i am,0.0,10
22653,miss 16`th,-0.1531,10
9982, im 16 too,0.0,10
7088, oh great.,0.6249,10
24307,sick again,-0.5106,10
10145,packing...,0.0,10
26219," ohh, ouch",0.0,10
4528, could be.,0.0,10
26649,goodnight;,0.0,10
11521, ew agreed,0.2732,10
10450,confuzzled,0.0,10
14929,speechless,0.0,10
17561,hee hallo ,0.0,10
9984, what lol?,0.4215,10
8564,work til 9,0.0,10
12921, very cool,0.3804,10
25521,ibood down,0.0,10
7726, sorry ali,-0.0772,10
27211, this year,0.0,10
25256, yeah same,0.296,10
17232,its so sad,-0.5256,10
11526,_gurl woot,0.4215,10
10469, me too bb,0.0,10
3999,is texting,0.0,10
22268,work   yay!,0.5707,11
1718,needs a job,0.0,11
14655,this is sad,-0.4767,11
13897, so jealous,-0.5095,11
25463, its brokey,0.0,11
14561,_ goodnight,0.0,11
10302,_de_baillon,0.0,11
2351,tummy hurts,-0.4767,11
23376, me too ugh,-0.4215,11
665, nice one !,0.4753,11
390,brainfreeze,0.0,11
14420, yes please,0.6124,11
15653, thanks pp!,0.4926,11
20776, great job!,0.6588,11
15646, cool rite?,0.3182,11
5905,_dave meany,0.0,11
26977, there u go,0.0,11
12451, great show,0.6249,11
12309,so bored...,0.0,11
13879, yesh. lawl,0.34,11
20408, that`s sad,-0.4767,11
8060,mad traffic,-0.4939,11
12247,itchy ****!,-0.3382,11
4980, thanks bb.,0.4404,11
18849,great night,0.6249,11
4811,i want noms,0.0772,11
816,too warm!!!,0.4168,11
5992, thanks too,0.4404,11
14695, dont quit.,0.0,11
429,goodmorning,0.0,11
12355, i`m sorry.,-0.0772,11
3588,1 more day!,0.0,11
15735, ur welcome,0.4588,11
21991,young money,0.0,11
4226,  shareeee.,0.0,11
9953, it`s great,0.6249,11
13950, hï¿½rlich!,0.0,11
15921,_m do it up,0.0,11
2291,symphonic i,0.0,11
23056, suck it up,-0.4404,11
833,working now,0.0,11
660,  hi mariah,0.0,11
16898, bawkmarked,0.0,11
18349,i am tired.,-0.4404,11
14653, everything,0.0,11
20337, good night,0.4404,11
7351,hello world,0.0,11
3956,amost there,0.0,11
9719, thank you!,0.4199,11
10427,i`m at work,0.0,11
8417,subway=yum!,0.0,11
25155,its raining,0.0,11
21651, that sucks,-0.3612,11
3375,  was wong?,0.0,11
19573,doing chemo,0.0,11
9070, yeah it is,0.296,11
127, absolutely,0.0,11
4691," aw, gutted",0.0,11
13157,i miss rich,0.4588,11
13666, rest well!,0.3382,11
27240,  stop itt!,-0.3595,11
9342, california,0.0,11
24580, i hate you,-0.5719,11
1443,life`s good,0.4404,11
24031,   g`night!,0.0,11
3279,: to triste,0.0,11
3073,on tha` bus,0.0,11
21144,at shriya`s,0.0,11
8881,being upset,-0.3818,11
9506,_com thanks,0.4404,11
22382,mine too <3,0.4404,11
17251, the iphone,0.0,11
13091,ow it hurts,-0.4767,11
9440, thanx love,0.6369,11
15062, so early??,0.0,11
5802, no worries,-0.6124,11
9147, yess  you?,0.0,11
15286, i miss you,-0.1531,11
7172,shower day.,0.0,11
269, hell yeah!,-0.5707,11
25828, ah....okay,0.0,11
2791,shower time,0.0,11
5775,dead gerbil,-0.6486,11
22739, miss you!!,-0.2924,11
25780,where u at?,0.0,11
8537, bad times?,-0.5423,11
3203,_y_tony hey,0.0,11
22687, awe thanks,0.4404,11
11096, shweeeeet!,0.0,11
19841," yep, i do.",0.296,11
25923,ugh rude!..,-0.4753,11
4545, tweettttt.,0.0,11
21750, it`s lying,-0.5267,11
19887,its so dead,-0.6801,11
9005,prank calls,0.0,11
21426, here i am!,0.0,11
156, me neither,0.0,11
17716,mouth hurts,-0.4767,11
26022,so over it!,0.0,11
1642, thank you.,0.3612,11
7079,  thank you,0.3612,11
22515, do tell...,0.0,11
19731,off to work,0.0,11
24292,good movie.,0.4404,11
1430,work all day,0.0,12
5699, that`s mean,0.0,12
11298, sounds fun!,0.5562,12
15298, ot! ot! ot!,0.0,12
12924,  i like it!,0.4199,12
7171,goood moring,0.0,12
10010, lol  i know,0.4215,12
24261,my arms hurt,-0.5267,12
6541, more coffee,0.0,12
8005,im not happy,-0.4585,12
7182, not so good,-0.3865,12
27195,doctors appt,0.0,12
650, my pleasure,0.5719,12
19193, you tell us,0.0,12
4179, lol thanks!,0.7177,12
17977, good good!!,0.7494,12
571,bad hair day,-0.5423,12
7035,heading home,0.0,12
21864, lol ok then,0.6124,12
24902,going to bed,0.0,12
4593,just woke up,0.0,12
5410, bom apetite,0.0,12
5113,nothin to do,0.0,12
11660,is a failure,-0.5106,12
10489, miss u more,-0.1531,12
23881,thanks synn!,0.4926,12
11286, you should.,0.0,12
27252, good choice,0.4404,12
21274, no news yet,-0.296,12
14126,missing bham,-0.296,12
3720,  goodnight.,0.0,12
21764, cop me some,0.0,12
19168,my first pos,0.0,12
11564,tps reports.,0.0,12
2854, she said no,-0.296,12
1880,wanna go out,0.0,12
915, nice clutch,0.4215,12
9931,hampa hatiku,0.0,12
24885,my eyes hurt,-0.5267,12
16624,goodnight!!!,0.0,12
19995,missing tim!,-0.3595,12
4899,more sunburn,0.0,12
21334, hello there,0.0,12
2405,good morning,0.4404,12
9929, no you dont,-0.296,12
17383,playing wii!,0.2714,12
8605, girlfriend!,0.0,12
11596,cloudy today,0.0,12
7631, goodmorning,0.0,12
24892,bad mood now,-0.5423,12
6060, awesomeness,0.0,12
3775, that`s cold,0.0,12
20322,170th update,0.0,12
18036, thanks bro.,0.4404,12
9905, we miss you,-0.1531,12
26124,i cant spell,0.0,12
18077,just work up,0.0,12
10680,headache boo,0.0,12
19628,is very cold,0.0,12
16471,sweet dreams,0.6908,12
22296,i miss 'mr.',-0.1531,12
23619, im at work!,0.0,12
17089,_bloggerific,0.0,12
6724,no  tonight ,-0.296,12
26304, go for it!!,0.0,12
2209, nothing yet,0.0,12
21053, i am sorry.,-0.0772,12
9033, count me in,0.0,12
11383,cof cof cof!,0.0,12
18355, cut it off.,-0.2732,12
12677,assignments!,0.0,12
20152, google away,0.0,12
7923, sure thing!,0.3802,12
17847,back to work,0.0,12
18387, thank you!!,0.4738,12
11851, i dont know,0.0,12
21047, clever girl,0.4588,12
14296,conversating,0.0,12
21045, no sign yet,-0.296,12
10940,hey twitters,0.0,12
14774,my fab broke,0.0516,12
6282,take me away,0.0,12
8, both of you,0.0,12
19518,me + court =,0.0,12
15152,is revisingg,0.0,12
23648, i wanna go.,0.0,12
25632, yes it does,0.4019,12
18925,need dayquil,0.0,12
11489, that sucks.,-0.3612,12
7880,i`m so tired,-0.4927,12
19023,at home sick,-0.5106,12
15597, that sucks!,-0.4199,12
712, rofl uh huh,0.5719,12
26,  i`m sorry.,-0.0772,12
25105,goin to work,0.0,12
18964,_mean where?,0.0,12
9532,hate be late,-0.5719,12
24305,: i miss you,-0.1531,12
3021,good weekend,0.4404,12
16852,off to class,0.0,12
27350, you stop it,-0.296,12
2749,is lets chat,0.0,12
3408, hey rocstar,0.0,12
13869,wants cookie,0.0,12
4665,time to play,0.34,12
13109, i love them,0.6369,12
26774, i`m so glad,0.5095,12
14214, nope. gone.,0.0,12
6002,yeah me too.,0.296,12
22588,just had kfc,0.0,12
2505, is it done?,0.0,12
27151,got the news,0.0,12
13882,@ work again,0.0,12
5482, i`m at work,0.0,12
10845,europe bound,0.0,12
3225, xd send it!,0.6239,12
26776,at thee mall,0.0,12
6020,hates moving,-0.4404,12
24302, rip michael,0.0,12
1608,i cant sleep,0.0,12
11484,sorry my bad.,-0.5859,13
7577,i am so bored,-0.3384,13
17750,extremly deep,0.0,13
4873,back in spain,0.0,13
5661, never invite,-0.1139,13
144,hate fighting,-0.7351,13
25152, your welcome,0.4588,13
2174, nice capture,0.4215,13
19055," no, it`s not",-0.296,13
19190,time for work,0.0,13
2144,its too early,0.0,13
9139,sweet dreams!,0.7177,13
21262,goodnight all,0.0,13
6190, it`s a date!,0.0,13
12307,got a new dog,0.0,13
2029, hah! thanks.,0.4926,13
17891,i`m so hungry,0.0,13
13421,where is  ???,0.0,13
25244,oh dear  #bgt,0.3818,13
21378, thanks janis,0.4404,13
14163,my head hurts,-0.4767,13
26667,work time....,0.0,13
12165," kk, awesome.",0.765,13
26652, yessssssir!!,0.0,13
7937,_are_fire hii,0.0,13
26123, i never knew,0.0,13
14210, work outside,0.0,13
17543, hello there!,0.0,13
19928, nope no love,-0.357,13
10570,goodmorning !,0.0,13
12127,i hate today.,-0.5719,13
27310,just threw up,0.0,13
8839,hello twitter,0.0,13
7051, cool and aww,0.3182,13
1950,**** my life.,0.0,13
26105, see ya there,0.0,13
10222, thanks  ****,0.4404,13
16592,ugh i`m tired,-0.6908,13
11396,has toothache,0.0,13
7033,i lost mx way,-0.3182,13
16600, its it done?,0.0,13
5902,  have funnn!,0.0,13
16009,  **** right!,0.0,13
10764," aww, thanks!",0.4926,13
17252, should be me,0.0,13
4640, thankyooooou,0.0,13
1018, thank you  x,0.3612,13
18144,"omfg, my head",0.0,13
12734,  yea dongggg,0.0,13
3644, i know. but.,0.0,13
1648, that sucks!!,-0.4738,13
399, qood morninq,0.0,13
22238, again again.,0.0,13
12570, not me  sigh,-0.0191,13
2578,such.a.tease.,0.0,13
20962,blinded again,0.0,13
18255,what`s up!!? ,0.0,13
3543, waaa you too,0.0,13
27220,:  i`ve been!,0.0,13
18493, lol #yourock,0.4215,13
11092,holiday again,0.4019,13
14909,i meant mamas,0.0,13
1783,going to work,0.0,13
5852, you`re back?,0.0,13
19443, shelaaaaaaaa,0.0,13
27144,i miss my boo,-0.1531,13
11006, morning to u,0.0,13
13644, not helping!,-0.2914,13
21701,"mmmm, shower.",0.0,13
16960,happy juddday,0.5719,13
15726, wow cute pic,0.7783,13
13677,still working,0.0,13
27041, lets go home,0.0,13
6775,super excited,0.743,13
13601,cleaning time,0.0,13
18431, cool! linux?,0.3802,13
25729,"aidan, please",0.3182,13
24711,heyya people!,0.0,13
5175, yes! you do!,0.508,13
22255,crappy day...,-0.5574,13
27078,so so tired..,0.0,13
18128, _chick hello,0.0,13
7271,i want to cry,-0.4215,13
7279,my bum hurts.,-0.4767,13
19270,i`m too tired,-0.4404,13
7317, use mozy.com,0.0,13
22447,my tummy hurt,-0.5267,13
23411,feel dpressed,0.0,13
9328,off to work..,0.0,13
1502,i only have 2,0.0,13
5244, mom said no.,-0.296,13
3352,good morning.,0.4404,13
21894,projects suck,-0.4404,13
23681,i want a hug!,0.5707,13
170, good morning,0.4404,13
6498,it`s raining!,0.0,13
10612,real stressed,-0.34,13
572,.....headache,0.0,13
1040, tweeten maar,0.0,13
1215,my arms hurt!,-0.5707,13
15965, many thanks!,0.4926,13
544, sweet dreams,0.6908,13
3570,my hair hurts,-0.4767,13
11131,luv you sissy,0.0,13
2600, congrats hey,0.5267,13
24414,i am new here,0.0,13
24849, morning bill,0.0,13
22419,missin my boo,0.0,13
6796,band practice,0.0,13
21034,good morning!,0.4926,13
13715,i dont get it,0.0,13
12510, haha thanks.,0.7096,13
19348,making a milo,0.0,13
21176, same to you!,0.0,13
12538,i miss them..,-0.1531,13
18971,  i missed one,-0.296,14
6976,i <3 owl city.,0.4404,14
15737,must. get. up.,0.0,14
1081,has heart burn,0.0,14
16228," you too, rus!",0.0,14
20242, eat (cup)cake,0.0,14
25677,it`s midnight.,0.0,14
6341,getttin ready.,0.3612,14
4484," i be ok, you?",0.296,14
15156,so much work !,0.0,14
25743, sad  nothing.,-0.4767,14
7371,  helloooo !!!,0.0,14
1025,_uts bass love,0.6369,14
26037," ,,, hey mom,,",0.0,14
1676, oops too late,0.0,14
7332, pshh. thanks.,0.4404,14
12194, yes(: but now,0.0,14
3953,scary cape guy,-0.4939,14
26008,i wanna go out,0.0,14
4535, i do now lol.,0.4215,14
22573, ok  thank you,0.5719,14
15690,i is so lonely,-0.4201,14
25695, i miss coffee,-0.1531,14
6677,has ruth today,0.0,14
15267, yeah for sure,0.5423,14
22279,having bad day,-0.5423,14
4462, that`s great!,0.6588,14
22411,at tokyo table,0.0,14
25540,is so bored...,0.0,14
6440,_w thank you..,0.3612,14
15888,i miss vermont,-0.1531,14
6585,eh.. it`s cold,0.0,14
22639, what? whyyyy?,0.0,14
12081,morning to all,0.0,14
22439, are you okay?,0.2263,14
19988,i hate packing,-0.5719,14
22616,weebo is dying,0.0,14
25394, oh sure . thx,0.5859,14
22444,  please don`t,0.3182,14
25930, i know!! yayy,0.0,14
19701,we`re home now,0.0,14
20415,i love twitter,0.6369,14
863, well now i do,0.2732,14
1944, yeah that too,0.296,14
12005,loving my boys,0.5994,14
22156, drugs are bad,-0.5423,14
16002, poor pooch...,-0.4767,14
1930,one more final,0.0,14
4379, i`ll save you,0.4939,14
11939, welcome back!,0.5093,14
2040,that was ****.,0.0,14
14935,my brain hurts,-0.4767,14
10416, no not yet...,-0.296,14
10847, be my guest !,0.0,14
25756,sunburn hurts!,-0.5255,14
15263,craving coffee,0.0,14
25248,where is teng?,0.0,14
6632,watching jonas,0.0,14
22797,eating maccies,0.0,14
10430,now i`m in hmv,0.0,14
22262,sunday morning,0.0,14
23116,work in a hour,0.0,14
10803, your welcome.,0.4588,14
10440, thanks lady!!,0.5399,14
7225,feeling lonely,-0.25,14
877, you okay bby?,0.2263,14
15491, you seem cool,0.3182,14
15269,head hurts bad,-0.765,14
1574, ty sweetheart,0.7845,14
1258, i`d love to!!,0.6988,14
25586,hello twitters,0.0,14
19390,princecharming,0.0,14
4176,brittany moved,0.0,14
4000,has a headache,0.0,14
1135, thanks  lyxxx,0.4404,14
20250,"juss boredd, !",0.0,14
10665, you can do it,0.0,14
22747,new on twitter,0.0,14
18321,_go you sure ?,0.3182,14
12836,_dk no problem,-0.5994,14
26836,i have a fever,0.0,14
302, simple my a#@,0.0,14
8525,  what`s wrong,-0.4767,14
3412,im soooo loney,0.0,14
18666, my phone died,-0.5574,14
8552,going to third,0.0,14
9450, aww how sweet,0.4588,14
21670,writing a song,0.0,14
21141,on way to work,0.0,14
17280, perfect song!,0.6114,14
12394,cart path only,0.0,14
14090,i am sad today,-0.4767,14
21158, sounds goood!,0.0,14
3778,just got back.,0.0,14
23317,more homework.,0.0,14
195, i talk to you,0.0,14
25007,watchin` jonas,0.0,14
186,_420 why baby?,0.0,14
18056, totally agree,0.4201,14
21944,  where u goin,0.0,14
17411, you`re so far,0.0,14
24334,still at work.,0.0,14
23290,it didn`t work,0.0,14
26044,is loving life,0.5994,14
23287," okay, thanks!",0.6239,14
2446," lol, me too!!",0.5242,14
21731,i hate hiccups,-0.5719,14
14075, don`t we all!,0.0,14
12793,going to leeds,0.0,14
24826,fighting again,-0.3612,14
26940,it`s raining..,0.0,14
13907,i am so tired!,-0.54,14
3666,living my life,0.0,14
453, still jealous,-0.4588,14
13962,new to twitter,0.0,14
8317,day of writing,0.0,14
12668,we in bed now.,0.0,14
8155,: yes  and ily,0.7964,14
18389,i hate parents,-0.5719,14
9742,2 coins people,0.0,14
16953,my head huwwts,0.0,14
5142,the whole day.,0.0,14
20822,i miss my 8703,-0.1531,14
8356," aww, why not?",0.0,14
551, yea so wassup,0.0,14
12478, thats too bad,-0.5423,14
21791,"ugh, migraine.",-0.4215,14
18311, thank you  xo,0.3612,14
21895, its tomorrow.,0.0,14
26874, it`s my fave!,0.4926,14
18301, not any more.,0.0,14
8428,good morning!!,0.5399,14
24607,just got home.,0.0,14
5873, thanks  night,0.4404,14
18636,... that`s all,0.0,14
8477,talking to nat,0.0,14
13465,is off to work,0.0,14
9268, goooood luck!,0.5093,14
18498,what a bad day,-0.5423,14
13310,time for work!,0.0,14
5448,my knee hurts!,-0.5255,14
17521, good morning!,0.4926,14
14304," sad, but true",0.3919,14
7878,work work work,0.0,14
24035,just got a wii,0.0,14
13086, happy to help,0.7506,14
16455, i need a code,0.0,14
13363, haha  thanks!,0.7345,14
16437,i am so sad...,0.0,14
2171,_crow morning!,0.0,14
24212,really ill atm,-0.4754,14
16417,sunburnt again,0.0,14
23926,happy moms day,0.5719,14
21452, thanks amigo!,0.4926,14
8737,work 4 - close,0.0,14
23960,awwwwwww holly,0.0,14
7889,sooo cloooseee,0.0,14
25047,i am so bored.,-0.3384,14
5429,: eww. dislike,-0.3818,14
18762,i hear you ...,0.0,14
25083,you fooled me!,-0.4389,14
5043,nice sunny day,0.6808,14
13219,hangover today,0.0,14
16332," i know, lame.",-0.4215,14
8723,i miss my boys,-0.1531,14
1280, i like ogberry,0.3612,15
21747, yeah i like it,0.5719,15
20213,i hate this bit,-0.5719,15
1356, wow.how sweet!,0.5093,15
8394,_m aww why psn?,0.0,15
11504, toy story pwns,0.0,15
21397, one of them is,0.0,15
1694, they shall win,0.5859,15
343, oh nice going!,0.4753,15
20201,dont worry babe,0.3412,15
26344,history project,0.0,15
24029, if i had a car,0.0,15
8412,i need a coffee,0.0,15
17637,tonight was fun,0.5106,15
7289,its so hot here,0.0,15
15677, aww lovely pic,0.5859,15
24615, aha thanks jae,0.4404,15
22332, noooo! poor se,-0.5255,15
17059,joining twitter,0.0,15
4282,  oh what`s up?,0.0,15
9661,i love you mom!,0.6696,15
26136, morning there.,0.0,15
8360,  good morning!,0.4926,15
8374,**** everything,0.0,15
24090,snl after party,0.4019,15
6045, yeah next time,0.296,15
24799, yay!  excited?,0.7263,15
483,hicks are mean!,0.0,15
1329,is in starbucks,0.0,15
10798,why am i awake?,0.0,15
19420, omg so exctied,0.0,15
15779,missed the play,0.0516,15
21833, that sucks man,-0.3612,15
12649, really?  cool!,0.4376,15
11478,at work till 7.,0.0,15
16916, hello there  ?,0.0,15
443,morning tweeple,0.0,15
17761, my heart sings,0.0,15
3550, thanks joeman!,0.4926,15
20253, time will tell,0.0,15
3140, i want to play,0.4019,15
20910, what about me?,0.0,15
8889,morning twitter,0.0,15
11490,watching bleach,0.0,15
20230,i love my puppy,0.6369,15
17683,why wouldn`t i?,0.0,15
19831,its mothers day,0.0,15
5209, it wont let me,0.0,15
13808, i know so lame,-0.4754,15
26391, what happened?,0.0,15
5569,  night boyssss,0.0,15
18347, very impressed,0.5256,15
25650,@_cheshire_cat_,0.0,15
25652,off to work now,0.0,15
17775, hi to you too.,0.0,15
21389,i wanna go home,0.0,15
9537, i`m doing okay,0.2263,15
21367, lol!  too true,0.7088,15
17306, thank you alot,0.3612,15
1545,working until10,0.0,15
125, not a prob hun,0.0,15
18112, wats wrong boo,-0.4767,15
22727,i want candy!!!,0.2905,15
4385, what was said?,0.0,15
22713,i did that once,0.0,15
14958, sorry to hear.,-0.0772,15
5387,where`s my new ,0.0,15
22448,chillin on here,0.0,15
4407, i miss you too,-0.1531,15
5440,took some phogs,0.0,15
1178,ahhh fusterated,0.0,15
12934,yeah. it`s sad.,-0.2263,15
19721,i miss you guys,-0.1531,15
1226, ok! oops sorry,0.2942,15
1190,out with audrey,0.0,15
18040, i`m only 6` 0',0.0,15
25880, sorry about it,-0.0772,15
18027,is on the phone,0.0,15
13426,i miss my daddy,-0.1531,15
2892,  hey hey hey b,0.0,15
14999, absolutely ...,0.0,15
11587, thx 4 sharing!,0.68,15
24299,finally gone!!!,0.0,15
9269,happy mom`s day,0.5719,15
15370, glad you like!,0.6996,15
11222,what a bad day!,-0.5848,15
9332,i can`t keep it,0.0,15
6804, cold and rainy,-0.0772,15
2809, happy birthday,0.5719,15
21558,what you doing?,0.0,15
1637, smh dats whack,-0.3182,15
9576,misses  so much,-0.2263,15
78,i am sooo tired,-0.4404,15
27128,i want a dog...,0.0772,15
3296,i lost my voice,-0.3182,15
23980,not feelin 2day,0.0,15
